"DateKey","FullDateAlternateKey","DayNumberOfWeek","EnglishDayNameOfWeek","SpanishDayNameOfWeek","FrenchDayNameOfWeek","DayNumberOfMonth","DayNumberOfYear","WeekNumberOfYear","EnglishMonthName","SpanishMonthName","FrenchMonthName","MonthNumberOfYear","CalendarQuarter","CalendarYear","CalendarSemester","FiscalQuarter","FiscalYear","FiscalSemester"
"20050225","2005-02-25","6","Friday","Viernes","Vendredi","25","56","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050226","2005-02-26","7","Saturday","Sábado","Samedi","26","57","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050227","2005-02-27","1","Sunday","Domingo","Dimanche","27","58","10","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050228","2005-02-28","2","Monday","Lunes","Lundi","28","59","10","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050301","2005-03-01","3","Tuesday","Martes","Mardi","1","60","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050302","2005-03-02","4","Wednesday","Miércoles","Mercredi","2","61","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050303","2005-03-03","5","Thursday","Jueves","Jeudi","3","62","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050304","2005-03-04","6","Friday","Viernes","Vendredi","4","63","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050305","2005-03-05","7","Saturday","Sábado","Samedi","5","64","10","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050306","2005-03-06","1","Sunday","Domingo","Dimanche","6","65","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050307","2005-03-07","2","Monday","Lunes","Lundi","7","66","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050308","2005-03-08","3","Tuesday","Martes","Mardi","8","67","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050309","2005-03-09","4","Wednesday","Miércoles","Mercredi","9","68","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050310","2005-03-10","5","Thursday","Jueves","Jeudi","10","69","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050311","2005-03-11","6","Friday","Viernes","Vendredi","11","70","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050312","2005-03-12","7","Saturday","Sábado","Samedi","12","71","11","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050313","2005-03-13","1","Sunday","Domingo","Dimanche","13","72","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050314","2005-03-14","2","Monday","Lunes","Lundi","14","73","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050315","2005-03-15","3","Tuesday","Martes","Mardi","15","74","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050316","2005-03-16","4","Wednesday","Miércoles","Mercredi","16","75","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050317","2005-03-17","5","Thursday","Jueves","Jeudi","17","76","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050318","2005-03-18","6","Friday","Viernes","Vendredi","18","77","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050319","2005-03-19","7","Saturday","Sábado","Samedi","19","78","12","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050320","2005-03-20","1","Sunday","Domingo","Dimanche","20","79","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050321","2005-03-21","2","Monday","Lunes","Lundi","21","80","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050322","2005-03-22","3","Tuesday","Martes","Mardi","22","81","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050323","2005-03-23","4","Wednesday","Miércoles","Mercredi","23","82","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050324","2005-03-24","5","Thursday","Jueves","Jeudi","24","83","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050325","2005-03-25","6","Friday","Viernes","Vendredi","25","84","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050326","2005-03-26","7","Saturday","Sábado","Samedi","26","85","13","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050327","2005-03-27","1","Sunday","Domingo","Dimanche","27","86","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050328","2005-03-28","2","Monday","Lunes","Lundi","28","87","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050329","2005-03-29","3","Tuesday","Martes","Mardi","29","88","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050330","2005-03-30","4","Wednesday","Miércoles","Mercredi","30","89","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050331","2005-03-31","5","Thursday","Jueves","Jeudi","31","90","14","March","Marzo","Mars","3","1","2005","1","3","2005","2"
"20050401","2005-04-01","6","Friday","Viernes","Vendredi","1","91","14","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050402","2005-04-02","7","Saturday","Sábado","Samedi","2","92","14","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050403","2005-04-03","1","Sunday","Domingo","Dimanche","3","93","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050404","2005-04-04","2","Monday","Lunes","Lundi","4","94","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050405","2005-04-05","3","Tuesday","Martes","Mardi","5","95","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050406","2005-04-06","4","Wednesday","Miércoles","Mercredi","6","96","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050407","2005-04-07","5","Thursday","Jueves","Jeudi","7","97","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050408","2005-04-08","6","Friday","Viernes","Vendredi","8","98","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050409","2005-04-09","7","Saturday","Sábado","Samedi","9","99","15","April","Abril","Avril","4","2","2005","1","4","2005","2"
"20050410","2005-04-10","1","Sunday","Domingo","Dimanche","10","100","16","April","Abril","Avril","4","2","2005","1","4","2005","2"
